p_no	p_category	p_name	p_price	p_stock	p_explanation
1	정육	채끝 스테이크	33800	100	채끝을 2~2.5cm 두께로 두툼하게 썰어낸 스테이크용 고기입니다. 한 덩어리로 맞춰 썰어낸 채끝이라 중량에 다소 차이가 있을 수  있으며, 가격도 일반적인 채끝보다는 높은 점을 구매 전에 참고해주세요
2	정육	엘본 스테이크	64600	100	소의 등뼈와 갈비뼈 사이의 채끝을 3cm 두께로 썰어낸 제품입니다. 안심의 비중이 매우 적고, 채끝이 대부분을 차지하고 있습니다.
3	정육	티본 스테이크	73950	100	포터하우스와 마찬가지로 소 허리 뼈를 중심으로 잘라내지만, 포터하우스보다 조금 더 앞쪽에서 3cm 두께로 썰어낸 제품입니다. 안심보다 채끝의 비중이 더 많습니다.
4	정육	한우 등심	23100	100	무항생제 1등급 한우의 등심 부위를 1cm 내외로 정형한 상품입니다. 얇게 구운 스테이크나 구이용 부위로 추천해요.
5	정육	제주 흑돼지 목살	15500	100	살코기와 지방의 비율이 적절한 흑돼지 목살입니다. 가공 과정에서 껍질을 제거했기에,보다 진한 육질의 풍미를 즐길수 있어요.
6	정육	제주 흑돼지 삼겹살	15500	100	고소한 지방과 살코기의 맛이 조화를 이루는 흑돼지 삼겹살입니다.지방층을 보존하기 위해 껍질을 제거하지 않고 가공했어요.
7	정육	미국산 냉동 삼겹살	5130	100	5mm 두께의 삼겹살을 먹기 좋은 크기로 썬 뒤 급속 냉동했어요. 한번에 드시기 좋은 300g으로 실링팩 포장한 제품입니다.
8	정육	이베리코 목살	18900	100	세보 등급으로 준비한 이베리코 목살이에요. 목살 부위에 특성상 살코기와 지방이 적당히 균형을 이뤄 부드러운 육질과 담백한 풍미를 자랑합니다.
9	정육	이베리코 갈비살	18900	100	세보 등급으로 준비한 이베리코 갈비살이에요. 부위가 지닌 특유의 마블링과 고소한 육향을 느낄 수 있고, 칼집을 넣어 쫄깃한 식감이 부드럽게 살아있어요.
10	정육	이베리코 항정살	18900	100	세보 등급으로 준비한 이베리코 항정살이에요. 칼집을 넣어 부위의 특성인 쫄깃한 식감을 높였고, 풍성한 마블링이 고소한 감칠맛이 휼륭해요.
