번호	층	인실	호실
1	1	2	101
2	1	2	102
3	2	2	201
4	2	2	202
5	3	2	301
6	3	2	302
7	4	2	401
8	4	2	402
9	5	2	501
10	5	2	502
11	6	4	601
12	6	4	602
13	6	4	603
14	6	4	604
15	7	4	701
16	7	4	702
17	7	4	703
18	7	4	704
19	8	4	801
20	8	4	802
21	8	4	803
22	8	4	804
23	9	4	901
24	9	4	902
25	9	4	903
26	9	4	904
27	10	4	1001
28	10	4	1002
29	10	4	1003
30	10	4	1004
31	11	6	1101
32	11	6	1102
33	11	6	1103
34	11	6	1104
35	11	6	1105
36	11	6	1106
37	12	6	1201
38	12	6	1202
39	12	6	1203
40	12	6	1204
41	12	6	1205
42	12	6	1206
43	13	6	1301
44	13	6	1302
45	13	6	1303
46	13	6	1304
47	13	6	1305
48	13	6	1306
49	14	6	1401
50	14	6	1402
51	14	6	1403
52	14	6	1404
53	14	6	1405
54	14	6	1406
55	15	6	1501
56	15	6	1502
57	15	6	1503
58	15	6	1504
59	15	6	1505
60	15	6	1506
