예약번호	회원번호	예약날짜	예약시간	서비스번호	방문여부
1	8	2019-09-28	13:00	1	Y
2	9	2019-09-29	15:00	1	Y
3	3	2019-09-30	16:00	1	Y
4	8	2019-10-01	18:00	1	Y
5	4	2019-10-02	15:00	5	Y
6	6	2019-10-04	12:00	6	N
7	10	2019-10-11	17:00	7	N
8	1	2019-10-03	19:00	8	Y
9	5	2019-10-05	12:00	3	N
10	8	2019-10-06	11:00	1	N
11	6	2019-10-13	17:00	2	N
12	9	2019-10-07	13:00	5	N
13	3	2019-10-02	14:00	1	Y
14	4	2019-10-07	15:00	2	N
15	1	2019-10-04	13:00	4	N
16	6	2019-10-08	19:00	8	N
17	8	2019-10-03	17:00	6	Y
18	10	2019-10-06	13:00	2	N
19	8	2019-10-05	16:00	9	N
20	7	2019-10-09	11:00	7	N
21	8	2019-10-01	15:00	3	Y
22	9	2019-10-02	14:00	4	Y
23	5	2019-10-06	13:00	5	N
24	6	2019-10-08	16:00	1	N
25	1	2019-10-04	14:00	8	N
26	10	2019-10-06	18:00	9	N
27	7	2019-10-05	16:00	3	N
28	8	2019-10-11	14:00	4	N
29	4	2019-10-06	12:00	5	N
30	6	2019-10-05	15:00	3	N
31	3	2019-10-07	16:00	7	N
32	6	2019-10-15	17:00	8	N
33	8	2019-10-02	18:00	9	Y
34	10	2019-10-04	16:00	3	Y
35	8	2019-10-09	11:00	1	N
36	5	2019-10-04	12:00	5	Y
37	6	2019-10-08	13:00	7	N
38	1	2019-10-03	14:00	8	Y
39	8	2019-10-06	15:00	3	N
40	6	2019-10-04	16:00	1	Y
41	7	2019-10-06	15:00	4	N
42	8	2019-10-08	14:00	6	N
43	9	2019-10-05	13:00	2	Y
44	6	2019-10-15	14:00	1	N
45	7	2019-10-14	16:00	1	N
