reservation_code	weddinghall_index	reservation_personnel	weddingtype_index	mealtype_index	album	letter	dress	date	pay
19060901	1	230	1	3	1	1	0	2019-06-09	1
19061101	1	220	2	1	0	0	0	2019-06-11	1
19060902	2	250	1	1	1	1	1	2019-06-09	1
19062205	5	300	9	1	1	1	1	2019-06-22	1
19070107	7	200	10	1	0	1	0	2019-07-01	1
19070207	7	200	10	1	1	1	1	2019-07-02	1
19062216	16	100	5	2	0	1	1	2019-06-22	1
19061620	20	400	8	3	1	1	1	2019-06-16	1
19062307	7	180	10	1	1	0	0	2019-06-23	1
19101138	38	220	7	3	1	1	0	2019-10-11	0
19101231	31	120	9	1	1	0	0	2019-10-12	1
19101323	23	100	6	1	0	1	0	2019-10-13	0
19101444	44	180	8	3	0	0	0	2019-10-14	1
19101515	15	290	9	3	0	1	0	2019-10-15	1
19101625	25	180	5	1	0	1	1	2019-10-16	1
19101707	7	220	10	1	0	0	0	2019-10-17	0
19101839	39	100	1	1	1	0	0	2019-10-18	1
19101907	7	230	10	1	1	1	0	2019-10-19	1
19102018	18	210	8	2	0	1	1	2019-10-20	1
19102109	9	130	5	1	0	0	1	2019-10-21	1
19102239	39	100	1	1	0	1	1	2019-10-22	0
19102326	26	350	2	3	1	1	1	2019-10-23	1
19102415	15	270	9	3	0	0	1	2019-10-24	0
19102546	46	330	2	3	0	1	1	2019-10-25	1
19102628	28	130	3	1	1	0	0	2019-10-26	1
19102719	19	160	5	2	0	1	0	2019-10-27	0
19102821	21	150	5	2	0	1	0	2019-10-28	1
19102924	24	150	9	3	0	0	0	2019-10-29	1
19103022	22	120	5	3	0	0	1	2019-10-30	1
19103133	33	360	5	2	1	0	0	2019-10-31	0
19110129	29	130	9	2	1	1	1	2019-11-01	0
19110246	46	280	2	3	1	1	0	2019-11-02	0
19110311	11	120	7	3	0	0	0	2019-11-03	1
19110401	1	180	1	1	1	0	1	2019-11-04	0
19110543	43	430	4	3	1	0	1	2019-11-05	0
19110607	7	250	10	1	1	1	1	2019-11-06	0
19110733	33	360	5	2	0	1	0	2019-11-07	0
19110818	18	290	8	2	1	0	0	2019-11-08	1
19110924	24	170	9	3	1	1	1	2019-11-09	1
19111014	14	200	1	3	1	0	0	2019-11-10	0
19111138	38	210	7	3	0	1	1	2019-11-11	0
19111235	35	190	7	3	0	1	0	2019-11-12	1
19111328	28	260	3	1	0	1	0	2019-11-13	0
19111416	16	110	5	2	1	1	0	2019-11-14	1
19111521	21	170	5	2	0	1	1	2019-11-15	0
19111627	27	120	6	2	1	1	1	2019-11-16	0
19111744	44	150	8	3	1	0	1	2019-11-17	0
19111822	22	300	5	3	1	1	1	2019-11-18	0
19111904	4	200	2	2	0	0	1	2019-11-19	1
19112034	34	180	3	2	0	1	0	2019-11-20	1
19112125	25	390	5	1	1	1	1	2019-11-21	1
19112245	45	160	7	3	1	0	0	2019-11-22	1
19112315	15	200	9	3	1	0	0	2019-11-23	1
19112417	17	190	3	2	0	1	0	2019-11-24	0
19112545	45	290	7	3	1	1	0	2019-11-25	0
19112645	45	300	7	3	0	0	0	2019-11-26	0
19112735	35	290	7	3	1	1	0	2019-11-27	1
19112845	45	110	7	3	0	1	1	2019-11-28	1
19112921	21	120	5	2	0	0	0	2019-11-29	1
19113026	26	230	2	3	0	1	0	2019-11-30	0
19120130	30	260	3	2	1	0	0	2019-12-01	1
19120245	45	240	7	3	1	1	0	2019-12-02	0
19120345	45	310	7	3	0	0	1	2019-12-03	1
19120406	6	140	5	1	0	1	0	2019-12-04	1
19120502	2	250	1	1	1	1	0	2019-12-05	0
19120643	43	400	4	3	0	0	0	2019-12-06	0
19120705	5	170	9	1	1	0	1	2019-12-07	1
19120819	19	210	5	2	0	0	1	2019-12-08	1
19120932	32	180	10	2	1	0	0	2019-12-09	0
19121027	27	450	6	2	1	0	0	2019-12-10	0
19121116	16	150	5	2	1	1	1	2019-12-11	1
19121228	28	210	3	1	0	0	1	2019-12-12	0
19121328	28	120	3	1	0	1	1	2019-12-13	0
19121444	44	170	8	3	0	0	0	2019-12-14	0
19121501	1	220	1	1	1	1	0	2019-12-15	1
19121633	33	180	5	2	1	0	0	2019-12-16	0
19121732	32	250	10	2	0	0	1	2019-12-17	1
19121815	15	210	9	3	0	0	0	2019-12-18	1
19121943	43	470	4	3	0	1	1	2019-12-19	0
19122046	46	120	2	3	0	1	0	2019-12-20	0
19122114	14	200	1	3	0	0	1	2019-12-21	0
19122232	32	220	10	2	1	0	0	2019-12-22	1
19122303	3	100	2	2	1	1	1	2019-12-23	1
19122414	14	170	1	3	0	0	1	2019-12-24	0
19122532	32	280	10	2	1	0	1	2019-12-25	1
19122646	46	150	2	3	1	0	0	2019-12-26	0
19122706	6	100	5	1	0	1	1	2019-12-27	1
19122840	40	300	4	3	0	1	1	2019-12-28	1
19122945	45	140	7	3	1	0	0	2019-12-29	0
19123038	38	430	7	3	0	0	0	2019-12-30	0
19123126	26	160	2	3	0	1	1	2019-12-31	0
20010119	19	250	5	2	0	0	1	2020-01-01	0
20010222	22	180	5	3	1	0	0	2020-01-02	1
20010323	23	110	6	1	0	0	0	2020-01-03	0
20010435	35	120	7	3	1	0	0	2020-01-04	1
20010543	43	440	4	3	1	0	1	2020-01-05	1
20010612	12	350	8	3	1	0	0	2020-01-06	0
20010732	32	210	10	2	1	1	0	2020-01-07	1
20010831	31	120	9	1	0	0	1	2020-01-08	0
20010934	34	100	3	2	1	0	1	2020-01-09	0
20011044	44	110	8	3	0	1	1	2020-01-10	0
20011104	4	240	2	2	0	0	0	2020-01-11	0
20011231	31	100	9	1	0	0	1	2020-01-12	0
20011323	23	140	6	1	1	0	0	2020-01-13	0
20011411	11	140	7	3	0	0	1	2020-01-14	0
20011530	30	190	3	2	1	0	0	2020-01-15	1
20011642	42	460	3	1	0	1	1	2020-01-16	1
20011713	13	100	9	3	1	0	1	2020-01-17	1
20011821	21	150	5	2	1	1	0	2020-01-18	1
20011906	6	210	5	1	1	0	1	2020-01-19	0
20012016	16	110	5	2	0	1	0	2020-01-20	1
20012145	45	230	7	3	1	0	1	2020-01-21	1
20012244	44	100	8	3	0	1	0	2020-01-22	0
20012321	21	160	5	2	0	1	0	2020-01-23	0
20012431	31	110	9	1	0	1	1	2020-01-24	1
20012544	44	140	8	3	1	0	0	2020-01-25	0
20012623	23	120	6	1	0	1	0	2020-01-26	1
20012709	9	120	5	1	0	1	1	2020-01-27	1
20012834	34	120	3	2	0	1	1	2020-01-28	1
20012908	8	130	9	3	1	0	0	2020-01-29	0
20013010	10	100	9	1	1	1	0	2020-01-30	1
20013115	15	200	9	3	0	1	0	2020-01-31	1
20020139	39	100	1	1	0	0	1	2020-02-01	1
20020237	37	250	2	2	1	0	0	2020-02-02	1
20020306	6	260	5	1	0	0	0	2020-02-03	1
20020420	20	410	8	3	1	1	0	2020-02-04	0
20020527	27	250	6	2	1	1	0	2020-02-05	1
20020605	5	140	9	1	1	0	1	2020-02-06	0
20020713	13	100	9	3	1	0	1	2020-02-07	0
20020841	41	100	7	1	1	1	0	2020-02-08	1
20020929	29	110	9	2	0	0	1	2020-02-09	0
20021032	32	300	10	2	0	1	1	2020-02-10	0
20021139	39	100	1	1	0	1	1	2020-02-11	0
20021233	33	350	5	2	1	1	1	2020-02-12	1
20021304	4	330	2	2	1	1	1	2020-02-13	1
20021431	31	100	9	1	0	1	1	2020-02-14	0
20021513	13	100	9	3	1	1	0	2020-02-15	0
20021641	41	100	7	1	1	0	0	2020-02-16	0
20021739	39	100	1	1	1	1	1	2020-02-17	0
20021845	45	170	7	3	0	0	0	2020-02-18	0
20021931	31	120	9	1	1	0	1	2020-02-19	1
20022016	16	190	5	2	0	1	0	2020-02-20	1
20022117	17	370	3	2	0	0	0	2020-02-21	1
20022201	1	180	1	1	0	0	0	2020-02-22	0
20022311	11	130	7	3	1	0	0	2020-02-23	1
20022420	20	310	8	3	1	1	1	2020-02-24	1
20022533	33	320	5	2	0	1	0	2020-02-25	1
20022622	22	140	5	3	1	1	1	2020-02-26	1
20022719	19	120	5	2	1	1	0	2020-02-27	0
20022816	16	190	5	2	1	0	0	2020-02-28	1
20022941	41	100	7	1	1	0	0	2020-02-29	1
20030142	42	160	3	1	1	1	0	2020-03-01	0
20030217	17	200	3	2	0	0	0	2020-03-02	1
20030310	10	100	9	1	1	1	0	2020-03-03	0
20030436	36	280	1	1	1	0	0	2020-03-04	0
20030545	45	210	7	3	1	0	0	2020-03-05	1
20030624	24	210	9	3	1	1	1	2020-03-06	1
20030737	37	200	2	2	0	0	0	2020-03-07	1
20030816	16	200	5	2	0	0	1	2020-03-08	1
20030917	17	340	3	2	1	1	1	2020-03-09	0
20031015	15	150	9	3	1	1	1	2020-03-10	1
20031106	6	140	5	1	0	0	1	2020-03-11	1
20031219	19	170	5	2	0	0	0	2020-03-12	1
20031334	34	110	3	2	0	1	0	2020-03-13	1
20031401	1	200	1	1	1	1	0	2020-03-14	1
20031534	34	110	3	2	1	1	1	2020-03-15	0
20031603	3	100	2	2	0	1	1	2020-03-16	0
20031746	46	140	2	3	1	0	0	2020-03-17	0
20031809	9	130	5	1	0	1	0	2020-03-18	0
20031907	7	180	10	1	1	1	1	2020-03-19	1
20032036	36	370	1	1	1	0	1	2020-03-20	1
20032102	2	240	1	1	0	0	0	2020-03-21	0
20032209	9	110	5	1	0	0	0	2020-03-22	1
20032312	12	290	8	3	1	0	1	2020-03-23	0
20032412	12	250	8	3	1	0	1	2020-03-24	1
20032525	25	310	5	1	1	1	1	2020-03-25	1
20032644	44	120	8	3	0	1	0	2020-03-26	1
20032710	10	100	9	1	1	1	0	2020-03-27	0
20032838	38	260	7	3	1	1	0	2020-03-28	1
20032910	10	100	9	1	0	1	0	2020-03-29	0
20033046	46	300	2	3	1	1	0	2020-03-30	1
20033115	15	190	9	3	1	0	1	2020-03-31	1
20040129	29	120	9	2	0	0	0	2020-04-01	0
20040238	38	310	7	3	1	0	0	2020-04-02	0
20040321	21	140	5	2	0	0	1	2020-04-03	1
20040409	9	130	5	1	0	1	0	2020-04-04	0
20040525	25	130	5	1	1	0	1	2020-04-05	1
20040624	24	150	9	3	0	0	0	2020-04-06	0
20040724	24	130	9	3	0	0	0	2020-04-07	0
20040814	14	110	1	3	0	0	1	2020-04-08	0
20040937	37	160	2	2	0	1	0	2020-04-09	1
