s_id	r_date	g_time	g1_time	t_time
user02	2019-05-26	13:50	22:20	8:30
user05	2019-05-26	12:50	21:20	8:30
user09	2019-05-26	12:50	21:20	8:30
user13	2019-05-26	12:50	21:20	8:30
user18	2019-05-26	12:50	21:20	8:30
user23	2019-05-26	12:50	21:20	8:30
user01	2019-05-26	8:50	18:05	9:15
user03	2019-05-26	8:50	18:05	9:15
user04	2019-05-26	8:50	18:05	9:15
user06	2019-05-26	8:50	18:05	9:15
user07	2019-05-26	8:50	18:05	9:15
user08	2019-05-26	8:50	18:05	9:15
user10	2019-05-26	8:50	18:05	9:15
user11	2019-05-26	8:50	18:05	9:15
user12	2019-05-26	8:50	18:05	9:15
user14	2019-05-26	8:50	18:05	9:15
user15	2019-05-26	8:50	18:05	9:15
user16	2019-05-26	8:50	18:05	9:15
user17	2019-05-26	8:50	18:05	9:15
user19	2019-05-26	9:20	19:00	9:40
user20	2019-05-26	8:50	18:05	9:15
user21	2019-05-26	8:50	18:05	9:15
user22	2019-05-26	8:50	18:05	9:15
user24	2019-05-26	8:50	18:05	9:15
user25	2019-05-26	8:50	18:05	9:15
user05	2019-05-30	13:00	21:20	8:20
user02	2019-05-30	13:50	22:20	8:30
user09	2019-05-30	12:50	21:20	8:30
user11	2019-05-30	9:00	18:05	9:05
user13	2019-05-30	12:50	21:20	8:30
user18	2019-05-30	12:50	21:00	8:10
user01	2019-05-30	8:50	18:05	9:15
user03	2019-05-30	8:50	18:05	9:15
user04	2019-05-30	8:50	18:05	9:15
user06	2019-05-30	8:50	18:05	9:15
user07	2019-05-30	8:50	18:05	9:15
user08	2019-05-30	8:50	18:05	9:15
user10	2019-05-30	8:50	18:05	9:15
user12	2019-05-30	8:50	18:05	9:15
user14	2019-05-30	8:50	18:05	9:15
user15	2019-05-30	8:50	18:05	9:15
user16	2019-05-30	8:50	18:00	9:10
user17	2019-05-30	8:50	18:05	9:15
user19	2019-05-30	8:50	18:05	9:15
user20	2019-05-30	8:50	18:05	9:15
user21	2019-05-30	8:50	18:05	9:15
user22	2019-05-30	8:50	18:05	9:15
user23	2019-05-30	12:50	22:00	9:10
user24	2019-05-30	8:50	18:05	9:15
user25	2019-05-30	8:50	18:05	9:15
user05	2019-06-02	13:00	21:20	8:20
user13	2019-06-02	13:00	21:20	8:20
user18	2019-06-02	12:50	20:00	7:10
user02	2019-06-02	13:50	22:20	8:30
user08	2019-06-02	9:00	18:00	9:00
user09	2019-06-02	12:50	21:20	8:30
user11	2019-06-02	9:00	18:05	9:05
user15	2019-06-02	8:50	17:30	8:40
user20	2019-06-02	9:00	18:05	9:05
user24	2019-06-02	9:10	18:05	8:55
user01	2019-06-02	8:50	18:05	9:15
user03	2019-06-02	8:50	18:05	9:15
user04	2019-06-02	8:50	18:05	9:15
user06	2019-06-02	8:50	18:05	9:15
user07	2019-06-02	8:50	18:05	9:15
user10	2019-06-02	8:50	18:05	9:15
user12	2019-06-02	8:50	18:05	9:15
user14	2019-06-02	8:50	18:05	9:15
user16	2019-06-02	8:50	18:00	9:10
user17	2019-06-02	8:50	18:05	9:15
user19	2019-06-02	8:50	18:05	9:15
user21	2019-06-02	8:50	18:05	9:15
user22	2019-06-02	8:50	18:05	9:15
user25	2019-06-02	8:50	18:05	9:15
user23	2019-06-02	12:50	23:00	10:10
user05	2019-06-07	13:00	21:20	8:20
user13	2019-06-08	13:00	21:20	8:20
user18	2019-06-08	12:50	20:00	7:10
user02	2019-06-08	13:50	22:20	8:30
user08	2019-06-08	9:00	18:00	9:00
user09	2019-06-08	12:50	21:20	8:30
user11	2019-06-08	9:00	18:05	9:05
user15	2019-06-08	8:50	17:30	8:40
user20	2019-06-08	9:00	18:05	9:05
user24	2019-06-08	9:10	18:05	8:55
user01	2019-06-08	8:50	18:05	9:15
user03	2019-06-08	8:50	18:05	9:15
user04	2019-06-08	8:50	18:05	9:15
user06	2019-06-08	8:50	18:05	9:15
user07	2019-06-08	8:50	18:05	9:15
user10	2019-06-08	8:50	18:05	9:15
user12	2019-06-08	8:50	18:05	9:15
user14	2019-06-08	8:50	18:05	9:15
user16	2019-06-08	8:50	18:00	9:10
user17	2019-06-08	8:50	18:05	9:15
user19	2019-06-08	8:50	18:05	9:15
user21	2019-06-08	8:50	18:05	9:15
user22	2019-06-08	8:50	18:05	9:15
user25	2019-06-08	8:50	18:05	9:15
user23	2019-06-08	12:50	23:00	10:10
user05	2019-06-09	13:00	21:20	8:20
user13	2019-06-09	13:00	21:20	8:20
user18	2019-06-09	12:50	20:00	7:10
user02	2019-06-09	13:50	22:20	8:30
user08	2019-06-09	9:00	18:00	9:00
user09	2019-06-09	12:50	21:20	8:30
user11	2019-06-09	9:00	18:05	9:05
user14	2019-06-09	9:00	18:05	9:05
user15	2019-06-09	8:50	17:30	8:40
user20	2019-06-09	9:00	18:05	9:05
user24	2019-06-09	9:10	18:05	8:55
user01	2019-06-09	8:50	18:05	9:15
user03	2019-06-09	8:50	18:05	9:15
user04	2019-06-09	8:50	18:05	9:15
user06	2019-06-09	8:50	18:05	9:15
user07	2019-06-09	8:50	18:05	9:15
user10	2019-06-09	8:50	18:05	9:15
user12	2019-06-09	8:50	18:05	9:15
user16	2019-06-09	8:50	18:00	9:10
user17	2019-06-09	8:50	18:05	9:15
user19	2019-06-09	8:50	18:05	9:15
user21	2019-06-09	8:50	18:05	9:15
user22	2019-06-09	8:50	18:05	9:15
user25	2019-06-09	8:50	18:05	9:15
user23	2019-06-09	12:50	23:00	10:10
