f_index	h_index	u_index	alarm
1	493	29	0
2	2603	28	0
3	10058	11	1
4	9106	9	0
5	11522	45	1
6	15399	21	1
7	16348	18	0
8	10035	13	0
9	14776	34	0
10	7365	9	0
11	13486	41	0
12	11569	7	1
13	15319	28	0
14	15376	21	0
15	13742	26	1
16	15018	4	0
17	11650	33	0
18	14243	12	0
19	9636	36	0
20	11974	33	1
21	1475	9	1
22	3684	27	0
23	12694	6	1
24	7804	6	0
25	14768	8	0
26	6068	44	1
27	9740	31	1
28	16615	30	0
29	11625	23	1
30	8340	49	1
31	4066	5	1
32	5606	32	1
33	7760	42	0
34	15236	27	1
35	6901	8	0
36	7938	33	0
37	4926	25	1
38	9910	35	1
39	12006	9	0
40	16163	11	0
41	2084	5	1
42	13185	6	0
43	13120	29	0
44	14360	36	0
45	9307	35	1
46	5379	41	0
47	907	37	0
48	3658	1	1
49	882	5	1
50	13227	28	1
51	16264	17	0
52	12798	46	0
53	15840	37	1
54	10705	17	0
55	13345	27	0
56	7737	29	1
57	6	41	1
58	15761	35	1
59	7232	12	1
60	4314	30	1
61	5330	48	0
62	10800	34	1
63	3505	13	1
64	13336	13	0
65	7183	40	0
66	14903	38	0
67	9027	32	0
68	3755	15	0
69	8208	35	0
70	6070	44	0
71	5457	5	0
72	12952	6	0
73	10542	31	0
74	16269	36	0
75	12728	47	1
76	7915	47	0
77	2565	42	1
78	13363	28	1
79	10083	7	0
80	14317	49	0
81	12491	37	1
82	6899	12	1
83	3616	7	1
84	8419	45	1
85	14917	22	0
86	11279	12	1
87	466	44	0
88	310	19	0
89	7496	9	1
90	16022	39	0
91	10118	16	0
92	14554	43	1
93	15965	5	1
94	3313	17	1
95	4668	43	0
96	1326	41	1
97	4383	7	1
98	10443	6	0
99	9222	3	1
100	8488	25	0
101	12184	50	0
102	6319	33	1
103	4203	26	0
104	11461	15	1
105	6975	35	1
106	8176	22	0
107	15080	16	0
108	3781	21	1
109	564	9	0
110	2722	42	0
111	12845	16	0
112	8721	24	0
113	2087	21	0
114	9310	48	1
115	5438	25	1
116	1205	14	0
117	3656	7	0
118	5097	43	0
119	9741	17	1
120	3437	33	0
121	5024	36	0
122	3459	49	0
123	1559	28	0
124	10097	31	1
125	12766	29	1
126	7994	38	0
127	14143	49	0
128	10525	12	1
129	3001	6	1
130	14097	45	0
131	179	14	1
132	5101	16	1
133	14169	29	0
134	15204	14	1
135	877	44	0
136	1740	38	1
137	11255	30	1
138	7892	42	1
139	3763	26	1
140	2344	13	0
141	10910	21	0
142	10031	38	0
143	7966	8	0
144	5712	17	0
145	5243	25	0
146	1925	1	1
147	5953	4	0
148	11069	1	1
149	2460	40	1
150	11712	48	1
151	11995	47	0
152	6502	41	1
153	190	20	1
154	9647	46	1
155	15845	13	0
156	11142	26	0
157	5085	17	1
158	4877	17	1
159	8735	20	1
160	555	4	0
161	5422	7	1
162	9431	47	1
163	14092	29	0
164	993	8	1
165	16584	31	0
166	14695	17	1
167	6400	34	1
168	13255	45	1
169	12848	6	1
170	3077	21	0
171	15429	32	1
172	10704	11	0
173	8946	31	0
174	4697	44	1
175	1175	39	1
176	13338	34	1
177	4854	23	1
178	14446	5	1
179	15431	28	0
180	4795	48	1
181	6005	22	1
182	11660	12	0
183	1502	46	1
184	12561	32	1
185	7035	34	0
186	12630	2	1
187	14721	12	1
188	8139	20	1
189	2203	48	1
190	7566	13	1
191	15759	1	0
192	10179	13	0
193	2862	31	1
194	9540	39	1
195	2170	9	0
196	15570	3	1
197	3267	7	1
198	2383	14	1
199	5375	22	1
200	12982	35	0
201	9021	20	0
202	11358	30	0
203	713	3	0
204	14499	19	0
205	1894	29	1
206	16462	43	1
207	16127	13	1
208	8494	43	0
209	1749	25	0
210	827	19	1
211	112	48	1
212	8314	40	0
213	4432	16	0
214	9667	49	0
215	4963	16	1
216	1186	46	0
217	4518	8	0
218	1488	18	1
219	15602	25	0
220	12407	19	1
221	8126	10	1
222	15225	44	0
223	4974	37	1
224	58	9	0
225	6185	7	0
226	5818	1	1
227	29	35	1
228	9461	43	0
229	12654	15	0
230	6069	9	1
231	8524	22	0
232	10286	13	0
233	3451	39	1
234	6107	49	0
235	9959	35	0
236	12441	29	0
237	6646	29	0
238	15881	14	0
239	3810	42	0
240	13872	31	0
241	6291	6	1
242	14405	23	1
243	10308	33	0
244	11225	28	1
245	10548	46	1
246	14053	28	0
247	11874	11	0
248	14288	7	1
249	14656	1	0
250	10229	27	0
251	10856	6	1
252	15815	36	0
253	13429	35	1
254	5014	35	0
255	7254	28	0
256	7104	6	1
257	12108	43	0
258	7117	12	0
259	7052	24	0
260	611	12	0
261	14711	41	0
262	4414	26	0
263	11537	5	0
264	4472	41	1
265	14593	36	1
266	11638	27	0
267	7943	4	1
268	13434	22	0
269	1167	7	0
270	2610	40	1
271	9334	44	0
272	13933	2	0
273	16045	1	0
274	13766	26	0
275	9720	18	0
276	13704	25	1
277	946	5	0
278	15826	34	0
279	8324	15	0
280	13624	10	0
281	1876	49	0
282	2126	39	0
283	10447	33	0
284	643	31	0
285	7742	39	0
286	8658	19	1
287	14784	2	1
288	6513	46	1
289	6675	4	1
290	3147	17	0
291	13460	39	1
292	11496	22	0
293	12442	29	1
294	4794	29	0
295	6003	38	1
296	15332	33	1
297	8016	33	1
298	13615	20	0
299	1149	45	1
300	2878	22	0
301	5698	21	0
302	7172	47	0
303	3209	21	0
304	15797	42	1
305	4637	5	0
306	14618	4	1
307	3939	50	0
308	12865	38	1
309	412	8	1
310	11981	34	0
311	15133	9	0
312	102	9	0
313	6908	37	0
314	1095	41	0
315	14984	40	1
316	12090	15	0
317	664	38	0
318	2048	49	1
319	11783	17	0
320	576	19	0
321	15216	22	1
322	3467	10	0
323	4754	33	0
324	1040	8	0
325	16010	42	0
326	2343	40	1
327	14983	37	0
328	10596	6	1
329	14164	37	1
330	14133	50	0
331	3008	5	0
332	1853	8	1
333	13171	13	0
334	11921	50	1
335	10688	46	0
336	7474	18	1
337	4990	48	0
338	3210	16	1
339	1023	45	0
340	12672	42	0
341	14139	10	1
342	12339	23	1
343	12549	9	1
344	5596	8	1
345	8693	17	0
346	12340	6	1
347	7384	5	0
348	16457	22	0
349	8376	10	0
