H_index	name	kind	address	phone	room	facility	S_index	grade	price	O_index
1	콩깍지	민박	경기도 가평군 북면 백둔리 455-16	010-8683-1928	25	바베큐, 수영장	2	4	125223	1
2	호수 하늘재	민박	경기도 가평군 청평면 삼회리 547-5	010-1188-0839	22	바베큐, 수영장, 카페, 산책로	2	1	194579	1
3	은행나무 펜션	민박	경기도 가평군 가평읍 승안리 278-3	010-8720-2462	25	바베큐	2	5	276575	1
4	남이섬리베라펜션	민박	경기도 가평군 가평읍 달전리 54-4	010-7758-2384	23	수영장, 카페	2	2	241523	1
5	별이 보이는 집	민박	경기도 가평군 청평면 대성리 361-48	010-6872-7623	21	바베큐, 수영장, 카페, 산책로	2	3	73078	1
6	계곡뜰펜션	민박	경기도 가평군 조종면 신하리 426-5	010-1482-7245	23	수영장, 카페, 탁구장 	2	2	253897	1
7	추억만들기펜션	민박	경기도 가평군 가평읍 승안리 646-12	010-6739-9103	27	수영장, 카페	2	5	295674	1
8	샴피뇽	민박	경기도 가평군 상면 항사리 403-3	010-4561-0949	23	바베큐, 수영장, 카페, 산책로, 탁구장 	2	3	232026	1
9	금오리버밸리펜션	민박	경기도 가평군 가평읍 금대리 330-8	010-4069-3124	25	바베큐, 수영장	2	1	104265	1
10	강변마루펜션	민박	경기도 가평군 북면 이곡리 581-1	010-9998-8384	23	바베큐, 수영장, 카페, 산책로	2	2	189038	1
11	꿈의궁전	민박	경기도 가평군 상면 행현리 696-4	010-6083-0869	23	바베큐	2	2	147982	2
12	밤나무골	민박	경기도 가평군 상면 덕현리 156-1	010-6237-5705	22	수영장, 카페	2	1	287062	2
13	하늘담은펜션	민박	경기도 가평군 청평면 대성리 357-1	010-0508-1077	21	바베큐, 수영장, 카페, 산책로	2	5	86876	2
14	울랄라펜션	민박	경기도 가평군 설악면 회곡리 17-1(1동)	010-5607-3257	22	수영장, 카페, 탁구장 	2	2	127128	2
15	로즈웨이	민박	경기도 가평군 조종면 운악리 426-20	010-4526-7691	24	바베큐, 수영장	2	3	289334	2
16	비쥬풀빌라펜션	민박	경기도 가평군 상면 행현리 589	010-8376-4067	21	바베큐, 수영장, 카페, 산책로	2	5	235652	2
17	고요한 하늘정원2	민박	경기도 가평군 상면 행현리 607-2	010-2601-4963	25	수영장, 카페	2	4	210420	2
18	엘리에셀	민박	경기도 가평군 가평읍 금대리 496-2	010-0721-6989	25	바베큐, 수영장, 카페, 산책로	2	4	219270	2
19	백둔펜션	민박	경기도 가평군 북면 백둔리 90-5	010-4852-0695	23	수영장, 카페, 탁구장 	2	2	233580	2
20	바하마	민박	경기도 가평군 설악면 회곡리 산104-2	010-7895-1024	21	수영장, 카페	2	4	225403	2
21	Relieve(릴리브)	민박	경기도 가평군 상면 임초리 143-3	010-7750-3462	23	바베큐, 수영장, 카페, 산책로, 탁구장 	2	4	70358	3
22	아비엥또	민박	경기도 가평군 청평면 호명리 176-1	010-6245-0018	25	바베큐, 수영장	2	2	243379	3
23	Relieve2(릴리브2)	민박	경기도 가평군 상면 임초리 143-3	010-0797-7410	21	바베큐, 수영장, 카페, 산책로	2	2	234262	3
24	라끄베르	민박	경기도 가평군 청평면 호명리 176-1	010-4230-3061	22	바베큐	2	2	242945	3
25	도도풀빌라1펜션	민박	경기도 가평군 상면 행현리 589-2	010-2145-9904	22	수영장, 카페	2	3	75834	3
