n_index	h_index	text	time	u_index
1	493	안녕하세요	2019-07-15 17:35	29
2	2603	안녕하세요	2019-07-15 17:35	28
3	10058	안녕하세요	2019-07-15 17:35	11
4	9106	안녕하세요	2019-07-15 17:35	9
5	11522	안녕하세요	2019-07-15 17:35	45
6	15399	안녕하세요	2019-07-15 17:35	21
7	16348	안녕하십니까	2019-07-15 17:35	18
8	10035	안녕하십니까	2019-07-15 17:35	13
9	14776	안녕하십니까	2019-07-15 17:35	34
10	7365	안녕하십니까	2019-07-15 17:35	9
11	13486	알림메세지	2019-07-15 17:35	41
12	11569	알림메세지	2019-07-15 17:35	7
13	15319	알림메세지	2019-07-15 17:35	28
14	15376	알림메세지	2019-07-15 17:35	21
15	13742	알림메세지	2019-07-15 17:35	26
16	15018	알림메세지	2019-07-15 17:35	4
17	11650	알림메세지	2019-07-15 17:35	33
18	14243	알림메세지	2019-07-15 17:35	12
19	9636	알림메세지	2019-07-15 17:35	36
20	11974	알림메세지	2019-07-15 17:35	33
21	1475	알림메세지	2019-07-15 17:35	9
22	3684	알림메세지	2019-07-15 17:35	27
23	12694	알림메세지	2019-07-15 17:35	6
24	7804	알림메세지	2019-07-15 17:35	6
25	14768	알림메세지	2019-07-15 17:35	8
26	6068	알림메세지	2019-07-15 17:35	44
27	9740	알림메세지	2019-07-15 17:35	31
28	16615	알림메세지	2019-07-15 17:35	30
29	11625	알림메세지	2019-07-15 17:35	23
30	8340	안녕하신지요	2019-07-15 17:35	49
31	4066	안녕하신지요	2019-07-15 17:35	5
32	5606	안녕하신지요	2019-07-15 17:35	32
33	7760	안녕하신지요	2019-07-15 17:35	42
34	15236	안녕하신지요	2019-07-15 17:35	27
35	6901	안녕하신지요	2019-07-15 17:35	8
36	7938	안녕하신지요	2019-07-15 17:35	33
37	4926	안녕하신지요	2019-07-15 17:35	25
38	9910	안녕하신지요	2019-07-15 17:35	35
39	12006	안녕하신지요	2019-07-15 17:35	9
40	16163	안녕하신지요	2019-07-15 17:35	11
41	2084	안녕하신지요	2019-07-15 17:35	5
42	13185	안녕하신지요	2019-07-15 17:35	6
43	13120	안녕하신지요	2019-07-15 17:35	29
44	14360	안녕하신지요	2019-07-15 17:35	36
45	9307	안녕하신지요	2019-07-15 17:35	35
46	5379	안녕하신지요	2019-07-15 17:35	41
47	907	안녕하신지요	2019-07-15 17:35	37
48	3658	안녕하신지요	2019-07-15 17:35	1
49	882	안녕하신지요	2019-07-15 17:35	5
50	13227	안녕하신지요	2019-07-15 17:35	28
51	16264	안녕하신지요	2019-07-15 17:35	17
52	12798	안녕하신지요	2019-07-15 17:35	46
53	15840	안녕하신지요	2019-07-15 17:35	37
54	10705	인기상품 특가 할인중	2019-07-15 17:35	17
55	13345	인기상품 특가 할인중	2019-07-15 17:35	27
56	7737	인기상품 특가 할인중	2019-07-15 17:35	29
57	6	인기상품 특가 할인중	2019-07-15 17:35	41
58	15761	인기상품 특가 할인중	2019-07-15 17:35	35
59	7232	인기상품 특가 할인중	2019-07-15 17:35	12
60	4314	인기상품 특가 할인중	2019-07-15 17:35	30
61	5330	인기상품 특가 할인중	2019-07-15 17:35	48
62	10800	인기상품 특가 할인중	2019-07-15 17:35	34
63	3505	인기상품 특가 할인중	2019-07-15 17:35	13
64	13336	인기상품 특가 할인중	2019-07-15 17:35	13
65	7183	인기상품 특가 할인중	2019-07-15 17:35	40
66	14903	인기상품 특가 할인중	2019-07-15 17:35	38
67	9027	인기상품 특가 할인중	2019-07-15 17:35	32
68	3755	인기상품 특가 할인중	2019-07-15 17:35	15
69	8208	인기상품 특가 할인중	2019-07-15 17:35	35
70	6070	인기상품 특가 할인중	2019-07-15 17:35	44
71	5457	인기상품 특가 할인중	2019-07-15 17:35	5
72	12952	인기상품 특가 할인중	2019-07-15 17:35	6
73	10542	인기상품 특가 할인중	2019-07-15 17:35	31
74	16269	인기상품 특가 할인중	2019-07-15 17:35	36
75	12728	인기상품 특가 할인중	2019-07-15 17:35	47
76	7915	인기상품 특가 할인중	2019-07-15 17:35	47
77	2565	인기상품 특가 할인중	2019-07-15 17:35	42
78	13363	인기상품 특가 할인중	2019-07-15 17:35	28
79	10083	인기상품 특가 할인중	2019-07-15 17:35	7
80	14317	인기상품 특가 할인중	2019-07-15 17:35	49
81	12491	인기상품 특가 할인중	2019-07-15 17:35	37
82	6899	인기상품 특가 할인중	2019-07-15 17:35	12
83	3616	안녕하세요	2019-07-15 17:35	7
84	8419	안녕하세요	2019-07-15 17:35	45
85	14917	안녕하세요	2019-07-15 17:35	22
86	11279	안녕하세요	2019-07-15 17:35	12
87	466	안녕하세요	2019-07-15 17:35	44
88	310	안녕하세요	2019-07-15 17:35	19
89	7496	안녕하세요	2019-07-15 17:35	9
90	16022	안녕하세요	2019-07-15 17:35	39
91	10118	안녕하세요	2019-07-15 17:35	16
92	14554	안녕하세요	2019-07-15 17:35	43
93	15965	안녕하세요	2019-07-15 17:35	5
94	3313	안녕하세요	2019-07-15 17:35	17
95	4668	안녕하세요	2019-07-15 17:35	43
96	1326	안녕하세요	2019-07-15 17:35	41
97	4383	안녕하세요	2019-07-15 17:35	7
98	10443	안녕하세요	2019-07-15 17:35	6
99	9222	안녕하세요	2019-07-15 17:35	3
100	8488	안녕하세요	2019-07-15 17:35	25
101	12184	안녕하세요	2019-07-15 17:35	50
102	6319	안녕하세요	2019-07-15 17:35	33
103	4203	안녕하세요	2019-07-15 17:35	26
104	11461	안녕하세요	2019-07-15 17:35	15
105	6975	안녕하세요	2019-07-15 17:35	35
106	8176	안녕하세요	2019-07-15 17:35	22
107	15080	안녕하세요	2019-07-15 17:35	16
108	3781	안녕하세요	2019-07-15 17:35	21
109	564	안녕하세요	2019-07-15 17:35	9
110	2722	안녕하세요	2019-07-15 17:35	42
111	12845	안녕하세요	2019-07-15 17:35	16
112	8721	안녕하세요	2019-07-15 17:35	24
113	2087	안녕하세요	2019-07-15 17:35	21
114	9310	안녕하세요	2019-07-15 17:35	48
115	5438	안녕하세요	2019-07-15 17:35	25
116	1205	안녕하세요	2019-07-15 17:35	14
117	3656	안녕하세요	2019-07-15 17:35	7
118	5097	안녕하세요	2019-07-15 17:35	43
119	9741	안녕하세요	2019-07-15 17:35	17
120	3437	안녕하세요	2019-07-15 17:35	33
121	5024	안녕하세요	2019-07-15 17:35	36
122	3459	안녕하세요	2019-07-15 17:35	49
123	1559	안녕하세요	2019-07-15 17:35	28
124	10097	안녕하세요	2019-07-15 17:35	31
125	12766	안녕하세요	2019-07-15 17:35	29
126	7994	안녕하세요	2019-07-15 17:35	38
127	14143	안녕하세요	2019-07-15 17:35	49
128	10525	안녕하세요	2019-07-15 17:35	12
129	3001	안녕하세요	2019-07-15 17:35	6
130	14097	안녕하세요	2019-07-15 17:35	45
131	179	안녕하세요	2019-07-15 17:35	14
132	5101	안녕하세요	2019-07-15 17:35	16
133	14169	안녕하세요	2019-07-15 17:35	29
134	15204	안녕하세요	2019-07-15 17:35	14
135	877	안녕하세요	2019-07-15 17:35	44
136	1740	안녕하세요	2019-07-15 17:35	38
137	11255	안녕하세요	2019-07-15 17:35	30
138	7892	안녕하세요	2019-07-15 17:35	42
139	3763	안녕하세요	2019-07-15 17:35	26
140	2344	안녕하세요	2019-07-15 17:35	13
141	10910	안녕하세요	2019-07-15 17:35	21
142	10031	안녕하세요	2019-07-15 17:35	38
143	7966	안녕하세요	2019-07-15 17:35	8
144	5712	안녕하세요	2019-07-15 17:35	17
145	5243	안녕하세요	2019-07-15 17:35	25
146	1925	안녕하세요	2019-07-15 17:35	1
147	5953	안녕하세요	2019-07-15 17:35	4
148	11069	안녕하세요	2019-07-15 17:35	1
149	2460	안녕하세요	2019-07-15 17:35	40
150	11712	안녕하세요	2019-07-15 17:35	48
151	11995	안녕하세요	2019-07-15 17:35	47
152	6502	안녕하세요	2019-07-15 17:35	41
153	190	안녕하세요	2019-07-15 17:35	20
154	9647	안녕하세요	2019-07-15 17:35	46
155	15845	안녕하세요	2019-07-15 17:35	13
156	11142	안녕하세요	2019-07-15 17:35	26
157	5085	안녕하세요	2019-07-15 17:35	17
158	4877	안녕하세요	2019-07-15 17:35	17
