R_index	checkin	checkout	h_index	u_index
1	2019-06-11	2019-09-13	9698	6
2	2019-07-22	2019-09-17	9643	6
3	2019-07-20	2019-10-20	10570	25
4	2019-07-08	2019-09-07	12826	39
5	2019-08-12	2019-08-17	4885	31
6	2019-07-11	2019-08-12	4668	43
7	2019-08-27	2019-11-11	5772	38
8	2019-07-14	2019-09-02	8023	46
9	2019-07-28	2019-08-13	16175	13
10	2019-08-15	2019-08-21	6541	11
11	2019-09-01	2019-10-19	6221	39
12	2019-08-20	2019-11-03	15864	9
13	2019-07-25	2019-08-08	14094	36
14	2019-08-23	2019-10-26	13030	17
15	2019-07-25	2019-08-18	13044	34
16	2019-08-28	2019-10-04	13095	46
17	2019-07-13	2019-09-14	6463	49
18	2019-08-31	2019-10-05	517	14
19	2019-07-27	2019-08-09	10218	32
20	2019-07-15	2019-10-13	7537	36
21	2019-07-09	2019-08-25	15710	21
22	2019-07-26	2019-07-27	15978	18
23	2019-08-14	2019-09-25	15292	43
24	2019-08-11	2019-10-17	5187	18
25	2019-07-05	2019-09-18	7946	15
26	2019-08-19	2019-09-08	15738	1
27	2019-07-25	2019-09-06	8455	9
28	2019-07-25	2019-10-18	2248	18
29	2019-08-18	2019-10-18	4694	20
30	2019-07-13	2019-07-17	6234	10
31	2019-08-23	2019-08-29	5660	38
32	2019-07-31	2019-08-20	8751	42
33	2019-08-15	2019-10-13	9700	22
34	2019-07-13	2019-07-14	6894	47
35	2019-08-30	2019-11-30	1554	25
36	2019-07-25	2019-07-29	8403	27
37	2019-07-19	2019-08-19	1148	23
38	2019-07-30	2019-08-20	12403	48
39	2019-07-11	2019-10-01	11117	46
40	2019-07-05	2019-09-18	828	20
41	2019-07-28	2019-09-24	1374	37
42	2019-07-08	2019-08-11	16328	5
43	2019-08-23	2019-09-22	5226	24
44	2019-07-19	2019-07-28	3246	18
45	2019-07-31	2019-09-09	8226	50
46	2019-08-29	2019-11-02	2722	2
47	2019-07-16	2019-10-02	6938	36
48	2019-08-24	2019-10-02	15491	37
49	2019-08-15	2019-09-20	5361	4
50	2019-07-17	2019-10-13	15050	15
51	2019-08-16	2019-10-07	3997	34
52	2019-07-20	2019-07-22	6988	16
53	2019-08-29	2019-09-12	2062	31
54	2019-08-14	2019-11-08	10320	28
55	2019-08-12	2019-10-09	5198	28
56	2019-07-13	2019-08-12	8714	31
57	2019-08-29	2019-11-27	12745	13
58	2019-08-23	2019-11-21	9773	43
59	2019-07-31	2019-09-17	5086	1
60	2019-08-04	2019-09-29	16632	6
61	2019-07-16	2019-08-03	7638	13
62	2019-07-26	2019-08-15	2465	46
63	2019-07-18	2019-10-07	10676	3
64	2019-07-21	2019-09-20	3696	26
65	2019-08-27	2019-10-05	12010	43
66	2019-07-14	2019-10-07	1327	30
67	2019-08-15	2019-10-15	1133	29
68	2019-07-28	2019-11-02	11265	38
69	2019-09-03	2019-10-25	9299	18
70	2019-07-22	2019-10-10	5791	27
71	2019-08-24	2019-10-16	13506	28
72	2019-09-02	2019-12-04	12421	35
73	2019-07-06	2019-08-20	6050	36
74	2019-08-09	2019-09-28	472	8
75	2019-07-24	2019-08-23	16264	13
76	2019-08-10	2019-10-28	6118	46
77	2019-08-19	2019-11-04	5961	46
78	2019-08-03	2019-10-12	6673	4
79	2019-07-16	2019-08-30	11217	37
80	2019-07-11	2019-09-06	157	36
81	2019-08-02	2019-09-01	11795	34
82	2019-08-25	2019-08-29	638	8
83	2019-08-05	2019-10-26	3848	47
84	2019-08-19	2019-10-21	3192	22
85	2019-07-29	2019-08-03	6450	47
86	2019-07-12	2019-07-17	1120	29
87	2019-07-30	2019-08-29	8567	17
88	2019-07-05	2019-10-08	9207	48
89	2019-08-07	2019-08-11	7440	28
90	2019-07-26	2019-08-27	1154	37
91	2019-07-12	2019-10-08	7005	47
92	2019-09-02	2019-11-26	8428	47
93	2019-08-26	2019-11-02	9969	14
94	2019-08-08	2019-08-23	12085	19
95	2019-08-29	2019-09-27	1635	33
96	2019-07-21	2019-09-04	9920	17
97	2019-07-10	2019-07-15	10363	40
98	2019-09-02	2019-11-22	13404	8
99	2019-08-23	2019-11-06	16326	45
100	2019-07-11	2019-07-24	14864	49
101	2019-08-20	2019-11-25	16161	20
102	2019-07-30	2019-09-27	11386	32
103	2019-08-20	2019-09-18	10228	21
104	2019-08-01	2019-08-21	15431	26
105	2019-07-26	2019-09-01	10153	1
106	2019-08-09	2019-09-19	4546	13
107	2019-08-08	2019-10-09	15212	21
108	2019-08-25	2019-10-31	3850	26
109	2019-07-17	2019-07-19	4872	39
110	2019-08-15	2019-08-26	342	4
111	2019-08-07	2019-09-14	5689	20
112	2019-08-17	2019-10-01	3281	14
113	2019-08-30	2019-08-31	2151	44
114	2019-09-01	2019-10-04	4065	23
115	2019-07-24	2019-09-30	520	13
116	2019-07-20	2019-07-21	15345	37
117	2019-07-22	2019-08-21	16492	19
118	2019-08-31	2019-09-08	10216	3
119	2019-07-30	2019-10-11	14576	28
120	2019-08-25	2019-09-09	12166	27
121	2019-07-31	2019-10-18	6933	39
122	2019-08-22	2019-11-14	5816	40
123	2019-08-19	2019-11-02	11696	42
124	2019-08-18	2019-09-23	12658	39
125	2019-09-02	2019-11-19	8622	33
126	2019-08-17	2019-11-11	12306	25
127	2019-07-09	2019-07-23	9558	8
128	2019-08-15	2019-10-31	5307	10
129	2019-07-27	2019-10-25	10062	42
130	2019-08-10	2019-09-15	12569	30
131	2019-09-02	2019-11-30	12620	36
132	2019-08-21	2019-10-08	5849	46
133	2019-09-02	2019-11-30	15447	24
134	2019-08-24	2019-09-21	14539	25
135	2019-08-15	2019-08-20	2507	1
136	2019-08-14	2019-11-13	14247	10
137	2019-07-06	2019-09-13	6056	10
138	2019-07-22	2019-10-14	3305	6
139	2019-08-24	2019-08-30	6477	12
140	2019-08-01	2019-08-12	1106	50
141	2019-08-20	2019-09-25	15066	4
142	2019-08-23	2019-09-06	15541	25
143	2019-07-18	2019-08-08	8154	31
144	2019-07-16	2019-08-17	9694	7
145	2019-08-31	2019-09-09	14057	36
146	2019-07-24	2019-08-15	3334	36
147	2019-08-29	2019-09-03	6107	20
148	2019-07-15	2019-10-13	14868	16
149	2019-09-01	2019-12-06	6330	33
150	2019-08-06	2019-09-06	4269	3
151	2019-08-29	2019-11-10	4289	44
152	2019-07-17	2019-10-07	10281	9
153	2019-09-02	2019-09-23	8072	27
154	2019-09-02	2019-10-01	10270	43
155	2019-07-14	2019-07-25	6180	27
156	2019-07-13	2019-08-22	13363	28
157	2019-08-09	2019-10-15	5027	2
158	2019-07-26	2019-10-16	11632	9
159	2019-08-17	2019-11-16	4050	42
160	2019-08-21	2019-11-01	1207	20
161	2019-08-23	2019-10-03	4782	20
162	2019-07-24	2019-09-09	4614	42
163	2019-08-15	2019-11-09	1867	27
164	2019-07-08	2019-08-15	5647	43
165	2019-08-21	2019-09-29	6305	22
166	2019-07-05	2019-08-12	3915	36
167	2019-08-08	2019-08-22	5627	28
168	2019-07-27	2019-08-15	1871	32
169	2019-08-15	2019-10-20	3090	2
170	2019-07-08	2019-07-28	3078	3
171	2019-07-11	2019-08-21	8597	22
172	2019-07-23	2019-08-07	10202	22
173	2019-07-21	2019-09-26	2921	39
174	2019-07-16	2019-08-31	12695	6
175	2019-08-11	2019-10-10	10833	32
176	2019-08-28	2019-09-09	13477	24
177	2019-07-25	2019-10-27	14282	5
178	2019-08-19	2019-09-04	2762	36
179	2019-08-04	2019-08-08	9485	29
180	2019-08-13	2019-09-15	14628	49
181	2019-08-05	2019-10-27	893	29
182	2019-07-08	2019-09-09	7025	43
183	2019-07-09	2019-08-04	6991	7
184	2019-08-16	2019-08-24	6910	27
185	2019-08-01	2019-10-08	1760	21
186	2019-08-07	2019-09-06	8792	6
187	2019-07-21	2019-10-02	13590	36
188	2019-07-18	2019-08-04	2211	16
189	2019-09-02	2019-12-05	9704	23
190	2019-08-05	2019-11-04	4682	46
191	2019-07-16	2019-10-21	5687	15
192	2019-07-08	2019-08-25	11842	39
193	2019-07-05	2019-08-17	13100	40
194	2019-07-20	2019-09-28	11881	4
195	2019-07-11	2019-10-02	3136	19
196	2019-08-09	2019-11-14	9724	5
197	2019-07-24	2019-10-21	12390	4
198	2019-08-08	2019-10-01	10882	9
