번호	닉네임 	닉네임	승패	날짜
1	진	럭스	패배	2019-01-11
2	럭스	피즈	패배	2019-01-11
3	피즈	니코	패배	2019-01-11
4	니코	바드	승리	2019-01-13
5	바드	야스오	승리	2019-01-14
6	야스오	클레드	패배	2019-01-15
7	클레드	티모	승리	2019-01-16
8	티모	클레드	승리	2019-01-17
9	클레드	진	패배	2019-01-18
10	진	럭스	승리	2019-01-20
11	럭스	피즈	패배	2019-01-20
12	피즈	니코	승리	2019-01-20
13	니코	바드	승리	2019-01-20
14	바드	야스오	승리	2019-01-24
15	야스오	클레드	승리	2019-01-25
16	진	럭스	승리	2019-01-26
17	럭스	피즈	승리	2019-01-29
18	피즈	니코	승리	2019-01-29
19	니코	바드	패배	2019-01-29
20	티모	클레드	패배	2019-01-29
21	바드	야스오	패배	2019-01-30
22	야스오	클레드	승리	2019-01-31
23	클레드	티모	패배	2019-02-01
24	클레드	진	승리	2019-02-03
25	럭스	피즈	승리	2019-02-05
26	니코	바드	패배	2019-02-07
27	야스오	클레드	패배	2019-02-09
28	럭스	피즈	패배	2019-02-11
29	피즈	니코	패배	2019-02-12
30	니코	바드	승리	2019-02-13
31	진	럭스	패배	2019-02-14
32	피즈	니코	패배	2019-02-14
33	바드	야스오	패배	2019-02-14
34	진	럭스	패배	2019-02-14
35	바드	야스오	승리	2019-02-14
36	야스오	클레드	패배	2019-02-14
37	클레드	티모	승리	2019-02-14
38	클레드	진	패배	2019-02-14
39	티모	클레드	승리	2019-02-17
40	진	럭스	승리	2019-02-19
41	럭스	피즈	패배	2019-02-20
42	니코	바드	승리	2019-02-22
43	야스오	클레드	승리	2019-02-24
44	럭스	피즈	승리	2019-02-26
45	피즈	니코	승리	2019-02-27
46	니코	바드	패배	2019-02-28
47	피즈	니코	승리	2019-03-01
48	바드	야스오	승리	2019-03-01
49	진	럭스	승리	2019-03-01
50	바드	야스오	패배	2019-03-01
51	클레드	진	승리	2019-03-01
52	니코	바드	패배	2019-03-01
53	야스오	클레드	승리	2019-03-02
54	클레드	티모	패배	2019-03-03
55	티모	클레드	패배	2019-03-04
56	진	럭스	패배	2019-03-06
57	럭스	피즈	승리	2019-03-07
58	피즈	니코	패배	2019-03-08
59	야스오	클레드	패배	2019-03-11
60	진	럭스	패배	2019-03-12
61	피즈	니코	패배	2019-03-14
62	니코	바드	승리	2019-03-15
63	클레드	티모	승리	2019-03-18
64	티모	클레드	승리	2019-03-19
65	진	럭스	승리	2019-03-21
66	바드	야스오	패배	2019-03-22
67	럭스	피즈	패배	2019-03-22
68	바드	야스오	승리	2019-03-22
69	야스오	클레드	패배	2019-03-22
70	클레드	진	패배	2019-03-22
71	럭스	피즈	패배	2019-03-22
72	피즈	니코	승리	2019-03-23
73	니코	바드	승리	2019-03-24
74	럭스	피즈	승리	2019-03-28
75	바드	야스오	패배	2019-03-31
76	야스오	클레드	승리	2019-04-01
77	클레드	티모	패배	2019-04-02
78	클레드	진	승리	2019-04-04
79	진	럭스	패배	2019-04-05
80	럭스	피즈	승리	2019-04-06
81	바드	야스오	승리	2019-04-07
82	야스오	클레드	승리	2019-04-07
83	진	럭스	승리	2019-04-07
84	피즈	니코	승리	2019-04-07
85	니코	바드	패배	2019-04-07
86	티모	클레드	패배	2019-04-07
87	피즈	니코	패배	2019-04-07
88	티모	클레드	승리	2019-04-07
89	니코	바드	패배	2019-04-08
90	바드	야스오	패배	2019-04-09
91	야스오	클레드	패배	2019-04-10
92	진	럭스	패배	2019-04-11
93	럭스	피즈	패배	2019-04-12
94	바드	야스오	승리	2019-04-15
95	클레드	티모	승리	2019-04-17
96	클레드	진	패배	2019-04-19
97	피즈	니코	패배	2019-04-20
98	니코	바드	승리	2019-04-20
99	야스오	클레드	패배	2019-04-20
100	진	럭스	승리	2019-04-20
