m_num	m_name	m_time	m_price	grade	m_sdate	m_edate
1	알라딘	120	9000	전체관람가	2019-10-01	2019-11-30
2	악인전	110	10000	청소년 관람불가	2019-10-06	2019-12-31
3	어벤져스-엔드게임	180	12000	12세 관람가	2019-11-26	2019-12-31
4	걸캅스	100	10000	15세 관람가	2019-10-01	2019-11-30
5	어린 의뢰인	110	12000	12세 관람가	2019-12-06	2019-12-28
6	더 보이	90	9000	15세 관람가	2019-12-04	2019-12-31
7	배심원들	110	9000	12세 관람가	2019-10-23	2019-11-29
8	교회오빠	80	10000	전체관람가	2019-10-01	2019-11-30
9	명탐정 피카츄	100	10000	전체관람가	2019-11-24	2019-11-30
10	김군	80	12000	12세 관람가	2019-11-08	2019-12-03
11	나의 특별한 형제	110	12000	12세 관람가	2019-12-04	2019-12-31
12	서스페리아	150	9000	청소년 관람불가	2019-10-23	2019-11-29
13	뽀로로 극장판 보물섬 대모험	80	10000	전체관람가	2019-10-01	2019-11-30
14	시민 노무현	100	10000	12세 관람가	2019-10-01	2019-11-30
15	해피타임 스파이	90	10000	청소년 관람불가	2019-10-01	2019-11-30
16	논-픽션	110	9000	15세 관람가	2019-11-08	2019-12-03
17	판의 미로-오필리아와 세 개의 열쇠	120	10000	15세 관람가	2019-10-13	2019-11-24
18	마더	130	9000	청소년 관람불가	2019-12-06	2019-12-28
19	아픈 만큼 사랑한다	80	10000	전체관람가	2019-11-23	2019-12-31
20	에이프릴의 딸	100	12000	청소년 관람불가	2019-10-06	2019-12-31
21	하트스톤	130	9000	12세 관람가	2019-10-29	2019-11-27
22	르누아르	110	12000	청소년 관람불가	2019-12-04	2019-12-31
23	미스터 터너	150	12000	청소년 관람불가	2019-11-16	2019-12-25
24	콜 미 바이 유어 네임	130	12000	청소년 관람불가	2019-12-06	2019-12-28
25	해저 2만리	130	12000	전체관람가	2019-11-08	2019-12-03
26	히치하이크	110	9000	12세 관람가	2019-12-06	2019-12-28
27	그린 북	130	12000	12세 관람가	2019-12-04	2019-12-31
28	뷰티플 마인드	100	10000	전체관람가	2019-10-01	2019-11-30
29	오버 데어	40	10000	전체관람가	2019-10-06	2019-12-31
30	생일	120	12000	전체관람가	2019-10-01	2019-11-30
