num	h_num	s_num	m_num	d_date	d_time	adult	youth	ychild	price	print
1	14	11	21	2019-10-30	오전 4:20:00	7	6	0	117000	인쇄
2	5	6	4	2019-10-14	오전 9:00:00	2	3	4	90000	
3	1	15	20	2019-10-06	오전 9:00:00	3	1	5	108000	인쇄
4	14	1	3	2019-11-26	오전 11:30:00	5	1	0	72000	인쇄
5	17	16	5	2019-12-11	오전 11:30:00	5	7	5	204000	
6	19	18	17	2019-10-14	오전 9:00:00	3	1	4	80000	
7	18	7	8	2019-10-08	오전 11:00:00	8	6	3	170000	
8	15	1	1	2019-10-02	오전 9:00:00	4	4	6	126000	
9	9	6	4	2019-10-15	오전 1:30:00	0	5	8	130000	인쇄
10	16	17	6	2019-12-25	오후 12:30:00	6	3	3	108000	
11	19	19	2	2019-10-29	오전 9:00:00	6	3	6	150000	
12	13	21	24	2019-12-09	오전 2:20:00	4	1	2	84000	
13	11	2	1	2019-10-09	오전 9:00:00	0	8	2	90000	
14	13	1	3	2019-11-27	오전 11:30:00	5	2	7	168000	인쇄
15	2	2	1	2019-10-10	오전 9:00:00	2	7	1	90000	
16	5	1	1	2019-10-13	오전 9:00:00	2	0	4	54000	인쇄
17	7	6	4	2019-10-16	오전 1:30:00	4	5	0	90000	
18	19	8	7	2019-10-24	오전 5:20:00	2	1	2	45000	인쇄
19	3	3	2	2019-10-10	오후 5:30:00	6	5	8	190000	인쇄
20	6	13	16	2019-11-11	오후 12:00:00	1	8	2	99000	인쇄
21	3	12	18	2019-12-06	오후 1:20:00	5	5	6	144000	
22	9	19	2	2019-10-30	오전 9:00:00	6	6	6	180000	
23	15	7	8	2019-10-16	오후 5:00:00	2	4	4	100000	
24	18	13	16	2019-11-18	오후 12:00:00	5	2	3	90000	
25	8	2	1	2019-10-15	오전 9:00:00	3	8	4	135000	
26	13	19	2	2019-10-31	오전 9:00:00	5	4	0	90000	
27	1	11	21	2019-10-31	오전 4:20:00	3	1	5	81000	
28	8	14	23	2019-11-16	오전 9:00:00	1	1	3	60000	
29	8	5	30	2019-11-04	오후 12:20:00	3	3	3	108000	인쇄
30	4	21	24	2019-12-10	오전 2:20:00	6	1	0	84000	
31	7	7	8	2019-10-24	오후 5:00:00	7	0	4	110000	
32	3	9	11	2019-12-04	오전 10:50:00	6	6	7	228000	
33	12	11	21	2019-11-11	오전 4:20:00	1	4	7	108000	
34	18	13	16	2019-11-19	오후 12:00:00	7	3	4	126000	
35	7	2	1	2019-10-16	오전 9:00:00	3	2	7	108000	
36	9	15	20	2019-10-07	오전 9:00:00	4	4	5	156000	
37	1	2	1	2019-10-17	오전 9:00:00	0	2	8	90000	
38	2	1	3	2019-11-28	오전 11:30:00	2	5	3	120000	
39	13	11	21	2019-11-18	오전 4:20:00	3	2	1	54000	
40	1	4	14	2019-10-14	오전 11:30:00	1	3	5	90000	
41	9	7	8	2019-10-29	오후 5:00:00	2	6	5	130000	
42	14	19	2	2019-11-01	오전 9:00:00	5	0	0	50000	인쇄
43	1	15	20	2019-10-08	오전 9:00:00	1	2	3	72000	인쇄
44	9	11	21	2019-11-25	오전 4:20:00	5	2	7	126000	인쇄
45	6	2	1	2019-10-18	오전 9:00:00	8	4	3	135000	
46	8	5	30	2019-11-12	오후 12:20:00	5	8	2	180000	
47	15	5	30	2019-11-20	오후 12:20:00	2	7	1	120000	
48	5	1	1	2019-10-23	오후 3:00:00	5	5	5	135000	
49	6	16	5	2019-12-12	오전 11:30:00	6	7	0	156000	인쇄
50	4	11	21	2019-11-13	오전 4:20:00	3	7	2	108000	인쇄
51	6	1	3	2019-11-29	오전 11:30:00	6	3	7	192000	
52	4	18	17	2019-10-15	오전 9:00:00	3	7	1	110000	
53	15	19	2	2019-11-02	오전 9:00:00	6	8	1	150000	
54	11	1	3	2019-11-30	오전 11:30:00	8	8	7	276000	
55	8	21	24	2019-12-21	오전 2:20:00	4	5	4	156000	
56	18	13	16	2019-11-20	오후 12:00:00	1	5	5	99000	
57	2	11	21	2019-11-20	오전 4:20:00	7	3	0	90000	인쇄
58	19	2	1	2019-10-30	오전 9:00:00	4	0	3	63000	인쇄
59	6	11	21	2019-11-20	오전 4:20:00	4	2	8	126000	
60	11	8	7	2019-10-25	오전 5:20:00	0	5	5	90000	인쇄
61	16	14	23	2019-11-17	오전 9:00:00	4	0	6	120000	인쇄
62	19	7	8	2019-10-30	오전 11:00:00	2	8	2	120000	인쇄
63	8	14	23	2019-11-18	오전 9:00:00	3	2	3	96000	인쇄
64	8	11	21	2019-11-11	오전 4:20:00	2	5	6	117000	인쇄
65	11	8	7	2019-10-28	오전 5:20:00	2	5	5	108000	
66	4	13	16	2019-11-23	오후 12:00:00	8	8	2	162000	
67	13	18	17	2019-10-16	오전 9:00:00	7	6	3	160000	인쇄
68	6	6	4	2019-10-18	오전 1:30:00	5	4	4	130000	
69	11	4	14	2019-10-21	오후 6:20:00	1	8	1	100000	
70	7	18	17	2019-10-17	오전 9:00:00	5	6	0	110000	인쇄
