s_num	s_name	tha	count	h_date	st_time	en_time	m_num
1	서울종로	아트홀	150	월	9:00	20:00	1,3
2	서울종로	백합홀	140	토	9:00	20:00	1,2,5,7
3	서울종로	모란홀	150	수	9:00	20:00	2,6,8,7
4	서울강남	코스모스홀	117	화,수	9:00	20:00	1,14,20,30
5	서울강남	무궁화홀	100	토,일	9:00	20:00	29,28,30
6	서울강남	백합홀	150	목	9:00	20:00	4,5
7	충남태안	제비홀	180	월,일	9:00	20:00	6,8,9
8	충남태안	백일홍홀	160	일	9:00	20:00	1,3,5,7
9	충남태안	베고니아홀	70	일	9:00	20:00	10,11,12,13,14
10	광주기독	제비홀	189	토,일	9:00	20:00	29,30
11	광주기독	모란홀	154	화	9:00	20:00	17,18,20,21
12	광주기독	아트홀	145	일	9:00	20:00	15,16,18,19
13	대전서부	아트홀	150	토	9:00	20:00	12,16,17,18
14	대전서부	무궁화홀	160	금	9:00	20:00	23,24,25,28
15	대전서부	장미홀	140	토	9:00	20:00	20,21,22,23
16	부산해운대	수선화홀	180	금,토	9:00	20:00	1,5,7,30
17	부산해운대	앵초홀	130	일	9:00	20:00	3,6,8,16
18	부산해운대	장미홀	170	일	9:00	20:00	17,23,26,27
19	제주	장미홀	150	일	9:00	20:00	2,3,5,8
20	제주	아트홀	160	토	9:00	20:00	10,11,16,17
21	제주	백합홀	140	토	9:00	20:00	22,23,24,26
